,address,districtCode,districtName,id,name,nearbyStations,stationType,zipCode,lat,lon
0,003 - Reforma - Insurgentes,1,Ampliación Granada,3,3 REFORMA-INSURGENTES,"[8, 20, 86]","BIKE,TPV",06500,19.431655,-99.158668
1,012 - Río Lerma - Villalongin,1,Ampliación Granada,12,12 RIO LERMA-VILLALONGIN,"[11, 19, 20, 85]",BIKE,06500,19.432313,-99.161597
2,013 - Reforma - Rio Rodano,1,Ampliación Granada,13,13 REFORMA-RIO RODANO,"[7, 14, 21]","BIKE,TPV",06500,19.423778,-99.175558
3,016 - Reforma - Rio Guadalquivir,1,Ampliación Granada,16,16 REFORMA-RIO GUADALQUIVIR,"[9, 23, 24]",BIKE,06500,19.42653,-99.169164
4,017 - Reforma - Rio Tiber,1,Ampliación Granada,17,17 REFORMA-RIO TIBER,"[16, 18, 25]","BIKE,TPV",06500,19.427501,-99.167125
5,019 - Reforma - Rio Neva,1,Ampliación Granada,19,19 REFORMA-RIO NEVA,"[12, 20, 27]","BIKE,TPV",06500,19.43001,-99.161675
6,021 - Reforma - Lieja,1,Ampliación Granada,21,21 REFORMA-LIEJA,"[7, 13, 14, 28]","BIKE,TPV",06500,19.423317,-99.175124
7,036 - Puebla - Veracruz,1,Ampliación Granada,36,36 PUEBLA-VERACRUZ,"[37, 41, 44]","BIKE,TPV",06140,19.419725,-99.175778
8,047 - Glorieta Cibeles - Oaxaca,1,Ampliación Granada,47,47 GLORIETA CIBELES-OAXACA,"[42, 51, 56]","BIKE,TPV",06700,19.419515,-99.166299
9,041 - Reforma - Av. de la República,1,Ampliación Granada,41,41 REFORMA-AV. DE LA REPUBLICA,[29],"BIKE,TPV",06700,19.435637,-99.150137
10,055 - 5 de Mayo - Bolívar,1,Ampliación Granada,55,55 5 DE MAYO-BOLIVAR,"[65, 87, 88]","BIKE,TPV",06700,19.434356,-99.138064
11,057 - Cuernavaca - Juan Escutia,1,Ampliación Granada,57,57 CUERNAVACA-JUAN ESCUTIA,"[48, 49, 50, 62]",BIKE,06140,19.414903,-99.17495
12,066 - Mazatlán - Francisco Marquez,1,Ampliación Granada,66,66 MAZATLAN-FRANCISCO MARQUEZ,"[65, 72]",BIKE,06170,19.411402,-99.178666
13,074 - Nuevo León - Ozulama,1,Ampliación Granada,74,74 NUEVO LEON-OZULAMA,"[63, 68, 71]",BIKE,06100,19.410343,-99.172831
14,063 - Nuevo León - Laredo,1,Ampliación Granada,63,63 NUEVO LEON- LAREDO,"[70, 76, 77]","BIKE,TPV",06100,19.413681,-99.171531
15,070 - Parque México - Michoacan,1,Ampliación Granada,70,70 PARQUE MEXICO-MICHOACAN,"[69, 71, 76]","BIKE,TPV",06100,19.411272,-99.169718
