"Genero_Usuario","Edad_Usuario","Bici","Ciclo_Estacion_Retiro","Fecha_hora_retiro","Ciclo_Estacion_Arribo","Fecha_hora_arribo","Distancia_km","Duracion_viaje"
"M",34,2804,118,2015-12-22 19:48:51,98,2015-12-22 19:59:41,1.07,10
"M",35,5849,185,2015-12-09 11:13:15,286,2015-12-09 11:24:19,1.53,11
"M",44,2400,50,2015-12-27 19:37:53,66,2015-12-27 19:43:34,0.81,5
"M",41,1931,398,2015-12-01 08:27:18,407,2015-12-01 08:32:51,0.84,5
"F",51,3753,119,2015-12-11 08:46:49,257,2015-12-11 08:57:42,1.36,10
"M",56,1009,398,2015-12-18 12:17:35,396,2015-12-18 12:21:47,0.48,4
"M",49,4599,49,2015-12-27 11:11:08,44,2015-12-27 11:13:59,0.18,2
"M",44,1,394,2015-12-12 14:05:27,321,2015-12-12 14:30:00,2.4,24
"M",25,4331,192,2015-12-18 18:20:59,80,2015-12-18 18:39:01,2.84,18
"F",27,2341,303,2015-12-03 18:09:59,351,2015-12-03 18:37:16,1.72,27
"F",30,2641,243,2015-12-09 08:56:04,205,2015-12-09 09:07:46,1.39,11
"M",35,5917,209,2015-12-18 18:22:17,231,2015-12-18 18:31:11,1.49,8
"F",28,1935,150,2015-12-20 15:12:34,71,2015-12-20 15:28:11,0.76,15
"M",31,4374,51,2015-12-05 19:47:14,257,2015-12-05 20:03:34,1.76,16
"M",24,727,146,2015-12-24 12:18:37,151,2015-12-24 12:23:01,0.51,4
"M",47,2097,162,2015-12-07 08:28:52,39,2015-12-07 08:43:02,2.01,14
"M",31,1596,108,2015-12-11 20:22:34,90,2015-12-11 20:33:25,1.86,10
"M",47,1417,174,2015-12-18 14:30:14,183,2015-12-18 14:34:07,0.46,3
"M",31,6567,16,2015-12-14 15:47:20,28,2015-12-14 15:54:34,0.48,7
"F",32,3670,70,2015-12-02 06:53:45,187,2015-12-02 07:03:45,1.66,9
"M",31,3635,259,2015-12-13 09:28:28,27,2015-12-13 10:02:20,1.25,33
"M",39,2159,41,2015-12-09 15:40:46,1,2015-12-09 15:53:53,1.9,13
"M",55,1692,361,2015-12-14 15:42:47,369,2015-12-14 15:44:34,0.15,1
"M",38,2890,128,2015-12-11 12:53:13,136,2015-12-11 12:56:34,0.54,3
"M",49,4607,246,2015-12-08 13:51:08,44,2015-12-08 14:04:34,1.86,13
"F",52,2861,10,2015-12-16 10:14:53,37,2015-12-16 10:35:53,2.36,20
"M",63,6222,47,2015-12-15 16:25:37,126,2015-12-15 16:31:25,0.53,5
"M",34,2629,36,2015-12-30 15:44:40,74,2015-12-30 15:53:57,1.08,9
